ID,Name,Time,Grade,Latitude,Longitude,Pressure,WindSpeed
1705,NORU,2017/08/06 18:00:00,4,32.5,132.9,970,60
1705,NORU,2017/08/06 21:00:00,4,32.8,133.4,970,60
1705,NORU,2017/08/07 00:00:00,4,33.1,134,970,60
1705,NORU,2017/08/07 01:00:00,4,33.3,134.2,970,60
1705,NORU,2017/08/07 03:00:00,4,33.6,134.6,970,60
1705,NORU,2017/08/07 06:00:00,4,34,135.1,975,55
1705,NORU,2017/08/07 09:00:00,4,34.5,135.7,975,55
1705,NORU,2017/08/07 12:00:00,4,35.2,136.2,980,50
1705,NORU,2017/08/07 15:00:00,3,35.6,136.5,985,45
1705,NORU,2017/08/07 18:00:00,3,36.2,136.8,985,40
1705,NORU,2017/08/07 21:00:00,3,37.1,137.4,985,40
1705,NORU,2017/08/08 00:00:00,3,37.3,137.7,985,35
1705,NORU,2017/08/08 03:00:00,3,37.5,137.8,985,35
1705,NORU,2017/08/08 06:00:00,3,37.7,138.1,988,35
1705,NORU,2017/08/08 09:00:00,3,38.4,138.3,990,35
1705,NORU,2017/08/08 12:00:00,6,38.7,138.5,990,0
1705,NORU,2017/08/08 18:00:00,6,39,139,992,0
1705,NORU,2017/08/09 00:00:00,6,39.2,139.2,994,0
1705,NORU,2017/08/09 06:00:00,6,39.2,139.3,996,0
